N,Distribution,Days,Shape,Mean (kg),Std (kg),Max (kg),Overflow %,Skewness,Noise MAE
20,Empirical,30,"(30, 20)",5.272,11.604,100.0,0.1667,3.219,0.0
20,Empirical,90,"(90, 20)",5.611,11.936,100.0,0.1111,2.863,0.0
20,Gamma-3,30,"(30, 20)",13.469,11.919,83.257,0.0,1.741,0.0
20,Gamma-3,90,"(90, 20)",13.533,11.716,83.257,0.0,1.435,0.0
50,Empirical,30,"(30, 50)",5.459,10.707,61.0,0.0,2.267,0.0
50,Empirical,90,"(90, 50)",5.317,10.546,79.0,0.0,2.373,0.0
50,Gamma-3,30,"(30, 50)",13.356,11.613,83.257,0.0,1.485,0.0
50,Gamma-3,90,"(90, 50)",13.713,12.151,100.0,0.0222,1.571,0.0
100,Empirical,30,"(30, 100)",5.54,12.034,93.0,0.0,2.656,0.0
100,Empirical,90,"(90, 100)",5.172,11.478,93.0,0.0,2.657,0.0
100,Gamma-3,30,"(30, 100)",13.667,12.102,100.0,0.0333,1.689,0.0
100,Gamma-3,90,"(90, 100)",13.791,12.118,100.0,0.0111,1.521,0.0
170,Empirical,30,"(30, 170)",5.803,11.466,100.0,0.0588,2.528,0.0
170,Empirical,90,"(90, 170)",5.715,11.29,100.0,0.0458,2.553,0.0
170,Gamma-3,30,"(30, 170)",13.747,12.124,100.0,0.0196,1.54,0.0
170,Gamma-3,90,"(90, 170)",13.992,12.342,100.0,0.0065,1.526,0.0
