city,N,dist,horizon,mean_kg,std_kg,max_kg,overflow_pct,skewness,lat_range,lon_range,lat_min,lat_max,lon_min,lon_max,depot_lat,depot_lon
figueiradafoz,350,emp,30,7.1483,10.0595,61.0,0.0,1.366,0.2733,0.1755,40.0217,40.295,-8.8972,-8.7217,40.2833,-8.4807
figueiradafoz,350,emp,90,7.2688,10.0742,68.0,0.0,1.3177,0.2733,0.1755,40.0217,40.295,-8.8972,-8.7217,40.2833,-8.4807
figueiradafoz,350,gamma3,30,13.8792,12.2499,100.0,0.0,1.5482,0.2733,0.1755,40.0217,40.295,-8.8972,-8.7217,40.2833,-8.4807
figueiradafoz,350,gamma3,90,13.934,12.1858,100.0,0.0,1.4803,0.2733,0.1755,40.0217,40.295,-8.8972,-8.7217,40.2833,-8.4807
riomaior,100,emp,30,5.5397,12.0338,93.0,0.0,2.6565,0.085,0.0712,39.2892,39.3742,-8.9601,-8.8889,39.1838,-9.1481
riomaior,100,emp,90,5.1717,11.4778,93.0,0.0,2.6573,0.085,0.0712,39.2892,39.3742,-8.9601,-8.8889,39.1838,-9.1481
riomaior,100,gamma3,30,13.667,12.1017,100.0,0.0,1.6895,0.085,0.0712,39.2892,39.3742,-8.9601,-8.8889,39.1838,-9.1481
riomaior,100,gamma3,90,13.7912,12.1178,100.0,0.0,1.521,0.085,0.0712,39.2892,39.3742,-8.9601,-8.8889,39.1838,-9.1481
riomaior,170,emp,30,5.8025,11.4657,100.0,0.0,2.5283,0.1894,0.1916,39.2535,39.4429,-8.9843,-8.7927,39.1838,-9.1481
riomaior,170,emp,90,5.7152,11.2896,100.0,0.0,2.5533,0.1894,0.1916,39.2535,39.4429,-8.9843,-8.7927,39.1838,-9.1481
riomaior,170,gamma3,30,13.7473,12.1244,100.0,0.0,1.5404,0.1894,0.1916,39.2535,39.4429,-8.9843,-8.7927,39.1838,-9.1481
riomaior,170,gamma3,90,13.9919,12.342,100.0,0.0,1.5257,0.1894,0.1916,39.2535,39.4429,-8.9843,-8.7927,39.1838,-9.1481
riomaior,20,emp,30,5.2717,11.6039,100.0,0.0,3.2188,0.0152,0.0315,39.3259,39.3411,-8.9428,-8.9113,39.1838,-9.1481
riomaior,20,emp,90,5.6111,11.9359,100.0,0.0,2.8632,0.0152,0.0315,39.3259,39.3411,-8.9428,-8.9113,39.1838,-9.1481
riomaior,20,gamma3,30,13.4689,11.9188,83.2573,0.0,1.7409,0.0152,0.0315,39.3259,39.3411,-8.9428,-8.9113,39.1838,-9.1481
riomaior,20,gamma3,90,13.5328,11.7155,83.2573,0.0,1.4348,0.0152,0.0315,39.3259,39.3411,-8.9428,-8.9113,39.1838,-9.1481
riomaior,50,emp,30,5.4587,10.7067,61.0,0.0,2.2669,0.1657,0.1695,39.2548,39.4206,-8.9625,-8.7929,39.1838,-9.1481
riomaior,50,emp,90,5.3169,10.5464,79.0,0.0,2.3726,0.1657,0.1695,39.2548,39.4206,-8.9625,-8.7929,39.1838,-9.1481
riomaior,50,gamma3,30,13.3564,11.6129,83.2573,0.0,1.4847,0.1657,0.1695,39.2548,39.4206,-8.9625,-8.7929,39.1838,-9.1481
riomaior,50,gamma3,90,13.7125,12.151,100.0,0.0,1.5708,0.1657,0.1695,39.2548,39.4206,-8.9625,-8.7929,39.1838,-9.1481
